Talent_Name,Type,Requirement_Type,Requirement_ID,Requirement_Value,Description,Effect_Logic
Sunder,Passive,Skill_Rank,The Great Weapons,3,Bonus damage against shields and armor.,"damage_bonus_vs_tag(shield, armor)"
Follow Through,Reaction,Skill_Rank,The Great Weapons,6,"If you kill a target or break an object, deal damage to an adjacent target.",on_kill(cleave_damage)
Impact,Passive,Skill_Rank,The Great Wepons,10,Critical hits knock targets prone or fling them backwards.,"crit_effect(knockback, prone)"
Heavy Pull,Passive,Skill_Rank,The Draw,3,You can use your Might stat for damage instead of Reflex/Finesse.,"stat_swap(damage, might)"
Skewering Shot,Passive,Skill_Rank,The Draw,6,Your shots can pass through one enemy to hit a second one behind them.,projectile_pierce(1)
Artillery,Passive,Skill_Rank,The Draw,10,Ignore range penalties. Your arrows punch through cover.,ignore_range_penalty; penetrate_cover
Loom,Active,Skill_Rank,Intimidation,3,You can Intimidate using Strength instead of Charm/Social stats.,"stat_swap(social_check, might)"
Terrify,Passive,Skill_Rank,Intimidation,6,"Enemies you intimidate hesitate, acting last in the turn order.",status_effect(initiative_last)
The Aura,Passive,Skill_Rank,Intimidation,10,Enemies within melee range must pass a check to attack you.,aura(sanctuary_effect)
Iron Grip,Passive,Skill_Rank,Athletics,3,You cannot be disarmed or forced to drop something you are holding.,immunity(disarm)
Wrecking Ball,Passive,Skill_Rank,Athletics,6,"You deal double damage to inanimate objects (doors, walls).","damage_mult_vs_tag(object, 2.0)"
Titan,Passive,Skill_Rank,Athletics,10,Your lifting/carrying capacity is doubled. You can swim/climb at full running speed.,"carry_cap_mult(2); move_speed(climb, normal)"
Second Skin,Passive,Skill_Rank,Plate,3,Sleeping in heavy armor causes no fatigue penalty.,ignore_fatigue(armor_sleep)
Glancing Blows,Passive,Skill_Rank,Plate,6,Reduces Critical Hit damage taken by half.,crit_defense_mult(0.5)
Juggernaut,Passive,Skill_Rank,Plate,10,You cannot be knocked prone or pushed against your will while armored.,"immunity(prone, push)"
Shield Wall,Active,Skill_Rank,The Shield,3,You provide heavy cover to adjacent allies.,"aura(adjacent_allies, heavy_cover)"
Bash,Active,Skill_Rank,The Shield,6,You can make an off-hand attack with your shield to stun enemies.,attack_bonus_action(stun)
Interpose,Reaction,Skill_Rank,The Shield,10,"Once per round, you can take a hit meant for an adjacent ally.","redirect_damage(ally, self)"
Thick Skin,Passive,Skill_Rank,Stoicism,3,Ignore penalties from pain or minor wounds.,ignore_penalty(pain)
Unbothered,Passive,Skill_Rank,Stoicism,6,You are immune to taunts and social embarrassment.,"immunity(taunt, social_shame)"
Death’s Door,Passive,Skill_Rank,Stoicism,10,You stay conscious and can act for one round after hitting 0 HP.,death_delay(1_round)
Workhorse,Passive,Skill_Rank,Labor,3,You can perform heavy labor for 16 hours without exhaustion.,stamina_mult(2.0)
Structural Eye,Passive,Skill_Rank,Labor,6,You instantly spot weak points in stone/wood structures (bonus to Demolition).,"skill_bonus(demolition, advantage)"
Atlas,Active,Skill_Rank,Labor,10,"For one turn, you can hold an impossible weight (e.g., a falling portcullis).","temp_stat_boost(strength, infinite)"
Quick Draw,Active,Skill_Rank,The Blades,3,Drawing a hidden weapon is a free action.,equip_speed(instant)
Bleed Out,Passive,Skill_Rank,The Blades,6,Critical hits cause ongoing damage over time.,crit_effect(bleed)
Vital Point,Passive,Skill_Rank,The Blades,10,You ignore armor rating on targets that are unaware of you.,ignore_armor(condition:unaware)
Juggler,Active,Skill_Rank,The Thrown,3,You can draw and throw two small weapons in a single action.,"multi_attack(thrown, 2)"
Ricochet,Active,Skill_Rank,The Thrown,6,You can bounce thrown weapons off walls to hit enemies behind cover.,ignore_cover(bounce)
Perfect Arc,Passive,Skill_Rank,The Thrown,10,Range penalties for thrown weapons are removed.,range_penalty(0)
Goad,Active,Skill_Rank,Repartee,3,Force an enemy to focus their attacks on you (drawing aggro).,taunt_target
Stinging Wit,Active,Skill_Rank,Repartee,6,Your insults cause enemies to take a penalty to their next roll.,debuff_target(roll_penalty)
Last Word,Reaction,Skill_Rank,Repartee,10,"If you kill an enemy, you can demoralize their allies instantly.",on_kill(aoe_fear)
Tumbler,Active,Skill_Rank,Mechanism,3,You can attempt to pick locks silently during combat.,stealth_action(lockpick)
Saboteur,Passive,Skill_Rank,Mechanism,6,You can rig a trap or jam a door in half the normal time.,"craft_speed(traps, 0.5)"
Skeleton Key,Active,Skill_Rank,Mechanism,10,You can unlock any non-magical lock instantly without rolling.,"auto_success(lockpick, non_magical)"
Fitted,Passive,Skill_Rank,Light,3,You suffer no stealth penalties while wearing leather/hide.,ignore_penalty(stealth_armor)
Roll With It,Reaction,Skill_Rank,Light,6,"When you take falling damage, reduce it by half.","damage_resist(fall, 0.5)"
Evasion,Reaction,Skill_Rank,Light,10,"If an AOE attack allows a save for half damage, you take zero on a success.",save_effect(aoe_zero_damage)
Fast Hands,Reaction,Skill_Rank,Snares,3,You can deploy caltrops or smoke bombs as a reaction.,quick_use(trap_item)
Hidden Trap,Passive,Skill_Rank,Snares,6,Enemies suffer a penalty to spot traps you have set.,trap_difficulty_increase
Chain Reaction,Active,Skill_Rank,Snares,10,You can trigger your traps remotely from a distance.,remote_trigger(trap)
Poker Face,Passive,Skill_Rank,Guile,3,You are immune to Insight checks trying to read your emotions.,immunity(insight_check)
Feint,Active,Skill_Rank,Guile,6,"You can use Guile to trick an enemy, giving you Advantage on your next attack.",action_buff(advantage_next_attack)
Imposter,Active,Skill_Rank,Guile,10,You can mimic voices and mannerisms perfectly after listening for 1 minute.,mimic_voice(perfect)
Cat’s Grace,Passive,Skill_Rank,Motion,3,You possess perfect balance on narrow ledges/ropes.,auto_success(balance)
Wall Run,Active,Skill_Rank,Motion,6,You can move vertically up walls as part of your movement.,movement_mode(wall_run)
Ghost,Passive,Skill_Rank,Motion,10,"You leave no footprints and make no sound, even when running.",stealth_bonus(silent_move)
Blend,Passive,Skill_Rank,Bio,3,+2 to Stealth in natural environments matching your armor.,"conditional_bonus(stealth, biome_match)"
Regrowth,Passive,Skill_Rank,Bio,6,"While resting in Bio armor, you heal faster than normal.",rest_regen_bonus
Adaptation,Passive,Skill_Rank,Bio,10,You are immune to extreme weather (heat/cold) while wearing this armor.,immunity(weather_extreme)
Field Medic,Passive,Skill_Rank,Tinctures,3,Applying a salve/bandage takes half the time.,"use_speed(medical, 0.5)"
Potency,Passive,Skill_Rank,Tinctures,6,Consumables you craft heal/buff for 25% more.,item_effect_mult(1.25)
Witch Doctor,Active,Skill_Rank,Tinctures,10,You can scavenge nearby flora to create a generic antidote/salve anywhere.,craft_anywhere(medical)
First Impression,Passive,Skill_Rank,Poise,3,NPCs start with a Friendly disposition towards you by default.,npc_attitude_start(friendly)
Radiance,Active,Skill_Rank,Poise,6,Your presence calms panicked crowds or allies.,"remove_status(panic, aoe)"
Purity,Passive,Skill_Rank,Poise,10,You are immune to non-magical diseases and look eternally youthful.,immunity(disease_mundane)
Forager,Passive,Skill_Rank,Nature,3,You always find enough food/water for yourself in the wild.,auto_success(forage_self)
Beast Friend,Passive,Skill_Rank,Nature,6,Wild animals will not attack you unless provoked.,faction_peace(animals)
Apex,Passive,Skill_Rank,Nature,10,You can track enemies over water or stone where no tracks should exist.,track_difficulty(impossible)
Iron Knuckle,Passive,Skill_Rank,The Fist,3,Your unarmed strikes do lethal damage instead of subdual.,unarmed_damage_type(lethal)
Clinch,Active,Skill_Rank,The Fist,6,You gain a bonus to grapple or hold enemies in place.,bonus(grapple)
Quivering Palm,Active,Skill_Rank,The Fist,10,You can stun an enemy with a precise unarmed strike.,status_effect(stun)
Mobile Fire,Passive,Skill_Rank,The Simple Shot,3,You do not suffer penalties for shooting while moving.,ignore_penalty(move_shoot)
Rapid Reload,Passive,Skill_Rank,The Simple Shot,6,Reloading a sling/shortbow is a free action.,reload_speed(instant)
Trick Shot,Active,Skill_Rank,The Simple Shot,10,You can shoot objects out of people's hands.,disarm_ranged
Pressure,Passive,Skill_Rank,Coercion,3,You gain bonuses to Coercion the longer the interrogation lasts.,skill_bonus_stack(time)
Cornered,Passive,Skill_Rank,Coercion,6,Enemies gain a penalty to morale when they have no escape route.,debuff_morale(condition:no_escape)
The Gaze,Active,Skill_Rank,Coercion,10,You can stop a hostile creature from attacking just by locking eyes.,cc_effect(paralyze_attack)
Patch Job,Active,Skill_Rank,Craft,3,You can temporarily repair broken gear in 1 action.,repair_speed(instant_temp)
Hardening,Passive,Skill_Rank,Craft,6,Armor/Weapons you craft have higher durability than standard.,craft_quality_bonus(durability)
Iron Stomach,Passive,Skill_Rank,Craft,10,You can eat spoiled food or drink mild poisons without effect.,immunity(ingested_poison)
Warded,Passive,Skill_Rank,Robes,3,You gain a small magical shield against elemental damage.,damage_resist(elemental)
Deep Pockets,Passive,Skill_Rank,Robes,6,Your robes can store items in a pocket dimension (reduced weight).,inventory_weight_mult(0.5)
Reflection,Reaction,Skill_Rank,Robes,10,"Once per day, you can reflect a hostile spell back at the caster.",spell_reflect(1_per_day)
Channel,Active,Skill_Rank,Catalysts,3,You can hold a spell charge in your staff to release later.,store_spell
Scroll Master,Passive,Skill_Rank,Catalysts,6,You can use scrolls from a higher tier than your level without failure.,use_item_tier_ignore
Overcharge,Active,Skill_Rank,Catalysts,10,You can break a wand/staff to cast a spell with maximum damage.,consume_item(max_damage)
Protocol,Passive,Skill_Rank,Etiquette,3,You never accidentally offend nobility or break local taboos.,social_safety_net
Name Drop,Active,Skill_Rank,Etiquette,6,You can demand audience with local leaders based on your rank.,unlock_access(vip)
Sanctuary,Active,Skill_Rank,Etiquette,10,You can invoke laws of hospitality to prevent violence in neutral ground.,zone_effect(peace)
Polyglot,Passive,Skill_Rank,Academics,3,"You can read any standard language, even if you can't speak it.",lang_read(all)
Researcher,Passive,Skill_Rank,Academics,6,You find information in libraries/archives in half the time.,"task_speed(research, 0.5)"
Eidetic Memory,Passive,Skill_Rank,Academics,10,You perfectly recall anything you have ever read or seen.,memory_recall(perfect)
Parry,Reaction,Skill_Rank,The Long Blade,3,You can use your reaction to increase your Armor Rating against one hit.,ac_bonus(reaction)
Riposte,Reaction,Skill_Rank,The Long Blade,6,"If an enemy misses you, you get a free counter-attack.",counter_attack(on_miss)
Disarm,Passive,Skill_Rank,The Long Blade,10,"On a Critical Hit, you fling the opponent's weapon away.",crit_effect(disarm)
Demolitionist,Passive,Skill_Rank,The Blast,3,You deal double damage to structures with explosives.,damage_mult_struct(2.0)
Shaped Charge,Passive,Skill_Rank,The Blast,6,Your explosives do not deal friendly-fire damage to allies.,aoe_safe(allies)
Pyrotechnics,Active,Skill_Rank,The Blast,10,You can craft explosives that blind or deafen instead of killing.,craft_item(flashbang)
Filibuster,Active,Skill_Rank,Rhetoric,3,"You can talk in circles to stall for time, preventing combat starting.",delay_combat
Logic Trap,Active,Skill_Rank,Rhetoric,6,"If an NPC agrees to your premise, they cannot attack you without penalty.",social_bind(peace)
Deconstruct,Active,Skill_Rank,Rhetoric,10,"You can verbally dismantle an NPC's belief system, causing a crisis of faith.",mental_break_target
Calculator,Passive,Skill_Rank,Analysis,3,"You can estimate distances, counts, and measurements instantly.",hud_info(measurements)
Deduction,Active,Skill_Rank,Analysis,6,"By observing a room, you can reconstruct what happened in the last hour.",scene_reconstruct
Grand Design,Active,Skill_Rank,Analysis,10,You can invent new unique blueprints for devices never seen before.,craft_blueprint(unique)
Brace,Reaction,Skill_Rank,The Polearms,3,You deal double damage against charging enemies.,damage_bonus(vs_charge)
Sweep,Active,Skill_Rank,The Polearms,6,You can trip or knock back multiple enemies in a cone.,aoe_attack(cone_trip)
Zone of Control,Passive,Skill_Rank,The Polearms,10,Enemies provoke attacks just by entering your reach.,opportunity_attack(on_enter)
Steady Aim,Passive,Skill_Rank,The Long Shot,3,"If you don't move, range penalties are halved.",stationary_bonus(range)
Sniper,Passive,Skill_Rank,The Long Shot,6,"If you are hidden, your shot does not reveal your exact location.",stealth_maintain(on_attack)
Kill Shot,Passive,Skill_Rank,The Long Shot,10,Bonus Critical damage on targets who are at maximum range.,damage_scale(distance)
Lie Detector,Passive,Skill_Rank,Insight,3,You always know if someone is intentionally lying (doesn't detect omission).,detect_lie
Read Lips,Passive,Skill_Rank,Insight,6,You can understand conversations from a distance if you can see them.,visual_audio
Prediction,Passive,Skill_Rank,Insight,10,You can sense hostile intent before a weapon is even drawn (cannot be surprised).,immunity(surprise)
Trap Sense,Passive,Skill_Rank,Scouting,3,You get a passive check to notice traps within 5 feet.,passive_detect(traps)
Tracker,Passive,Skill_Rank,Scouting,6,"You can determine the number, type, and speed of creatures from tracks.",track_info(detailed)
Eagle Eye,Passive,Skill_Rank,Scouting,10,"Visibility penalties from fog, rain, or dim light are ignored.",ignore_environment(vision)
Quick Change,Active,Skill_Rank,Rigs,3,You can don or doff this armor/clothing in seconds.,equip_speed(instant)
Prepared,Active,Skill_Rank,Rigs,6,You have a utility slot that produces any small mundane item you need.,spawn_item(mundane_utility)
Vanish,Passive,Skill_Rank,Rigs,10,"While stationary in a Ghillie suit, you are effectively invisible.",invisibility(stationary)
Wager,Active,Skill_Rank,Curios,3,Once per session you can reroll a failure.,reroll(1_per_session)
Card Sharp,Passive,Skill_Rank,Curios,6,You can cheat at gambling games without being caught.,auto_success(gambling)
Fated,Active,Skill_Rank,Curios,10,Once per session you can force the DM/Enemy to reroll a success.,enemy_reroll(1_per_session)
Vibe Check,Passive,Skill_Rank,Empathy,3,You instantly know the emotional state of everyone in the room.,detect_emotion(aoe)
Soothe,Active,Skill_Rank,Empathy,6,You can remove Fear or Rage effects from an ally.,cure_status(mental)
Soul Bond,Passive,Skill_Rank,Empathy,10,You share a telepathic link with one close ally.,telepathy(single_target)
Bad Feeling,Passive,Skill_Rank,Mysticism,3,You sense if a choice will lead to Woe or Weal.,predict_outcome(binary)
Spirit Sight,Passive,Skill_Rank,Mysticism,6,You can see ghosts or invisible entities.,vision_mode(ethereal)
Omen,Active,Skill_Rank,Mysticism,10,You can declare a single fact about the future; the DM tries to make it true.,narrative_control(minor)
Entangle,Active,Skill_Rank,Melee Exotics,3,Whips/chains can grapple enemies from a distance.,grapple_ranged
Flashy,Passive,Skill_Rank,Melee Exotics,6,Attacks give you a bonus to your next social interaction.,combo_combat_social
Pain Compliance,Passive,Skill_Rank,Melee Exotics,10,Enemies hit by these weapons suffer a penalty to Willpower.,debuff_stat(willpower)
Silent Takedown,Passive,Skill_Rank,Ranged Exotics,3,Blowgun/Bola attacks make zero noise.,attack_silent
Debilitate,Passive,Skill_Rank,Ranged Exotics,6,Poisons applied to these weapons last twice as long.,status_duration_mult(2.0)
Trick Shot,Active,Skill_Rank,Ranged Exotics,10,You can hit buttons/levers remotely with impossible angles.,interact_ranged
Silver Tongue,Passive,Skill_Rank,Persuasion,3,You get a discount at all merchants.,shop_discount
Charm Person,Active,Skill_Rank,Persuasion,6,An NPC becomes temporarily helpful/infatuated.,status_effect(charmed)
Cult of Personality,Passive,Skill_Rank,Persuasion,10,You can attract a following of loyal henchmen.,spawn_follower
Mimicry,Active,Skill_Rank,Performance,3,You can throw your voice to appear to come from elsewhere.,audio_distraction
Disguise,Active,Skill_Rank,Performance,6,You can craft a disguise that stands up to physical inspection.,disguise_quality(perfect)
Enthrall,Active,Skill_Rank,Performance,10,"You can captivate a crowd, distracting them so they notice nothing else.",cc_aoe(distract)
Muffled,Passive,Skill_Rank,Mail,3,Reduces the noise penalty of wearing metal armor.,reduce_penalty(stealth_armor)
Faith,Passive,Skill_Rank,Mail,6,Magical healing received is more effective on you.,heal_received_mult(1.2)
Unbreakable,Passive,Skill_Rank,Mail,10,Critical Hits against you are treated as normal hits.,immunity(crit_extra_damage)
Colors,Passive,Skill_Rank,Regalia,3,Allies who can see your banner/symbol gain a bonus against Fear.,aura_buff(resist_fear)
Rally,Active,Skill_Rank,Regalia,6,Once per combat your signal grants all allies temporary HP.,aoe_heal(temp_hp)
Dread,Passive,Skill_Rank,Regalia,10,Enemies who see your banner suffer a morale penalty.,aura_debuff(morale)
Iron Mind,Passive,Skill_Rank,Discipline,3,You have Advantage/Bonus to resist mind control.,save_bonus(mental)
Focus,Passive,Skill_Rank,Discipline,6,You can maintain concentration on spells/tasks even when taking damage.,concentration_unbreakable
Snap Out Of It,Active,Skill_Rank,Discipline,10,You can use an action to remove a mental effect from an ally.,cure_status(ally_mental)
Orders,Active,Skill_Rank,Command,3,You can grant an ally an immediate reaction attack.,grant_action(ally)
Tactician,Passive,Skill_Rank,Command,6,Your team gains a bonus to Initiative rolls.,party_buff(initiative)
Martyr,Reaction,Skill_Rank,Command,10,If an ally drops to 0 HP you can give them your HP to keep them fighting.,transfer_hp(ally)
Herculean Effort,Active,Attribute_Score,MIGHT,16,"Once per day, automatically succeed on a Strength-based check to lift or break something.",auto_success(might_check)
Titan's Grip,Passive,Attribute_Score,MIGHT,20,You can wield Two-Handed weapons in one hand.,equip_slot_override(2h_as_1h)
Marathoner,Passive,Attribute_Score,ENDURANCE,16,You never suffer exhaustion from travel or lack of sleep (must still rest for HP).,immunity(exhaustion_travel)
Unkillable,Reaction,Attribute_Score,ENDURANCE,20,"If you would die, you instead drop to 1 HP and become immune to damage for 1 round.",cheat_death(1_per_day)
Surgical Precision,Passive,Attribute_Score,FINESSE,16,You can reroll any 1s rolled on damage or skill checks involving dexterity.,reroll_1s(finesse)
Perfect Strike,Passive,Attribute_Score,FINESSE,20,"Your Critical Hit range expands by 2 (e.g., 18-20).",crit_range_expand(2)
Lightning Reflexes,Passive,Attribute_Score,REFLEXES,16,You add your Reflex bonus to your Initiative rolls twice.,initiative_mult(2.0)
Bullet Time,Active,Attribute_Score,REFLEXES,20,Take two full Actions in a single turn. (Once per long rest).,action_surge
Primal Vigor,Passive,Attribute_Score,VITALITY,16,Regenerate HP equal to your Vitality bonus every hour.,regen_hourly
Timeless Body,Passive,Attribute_Score,VITALITY,20,You stop aging and are immune to all non-magical diseases and poisons.,"immunity(age, disease, poison)"
Thick Skinned,Passive,Attribute_Score,FORTITUDE,16,Gain +1 Max HP for every level you have (retroactive).,hp_bonus_level(1)
Impervious,Passive,Attribute_Score,FORTITUDE,20,Reduce all incoming physical damage by your Fortitude bonus.,damage_reduction(flat_fort)
Polymath,Passive,Attribute_Score,KNOWLEDGE,16,"You are considered ""Proficient"" in all Lore skills, even untrained ones.",skill_proficiency(all_lore)
Living Library,Active,Attribute_Score,KNOWLEDGE,20,"Once per day, ask the GM a specific question about the world; they must answer truthfully.",meta_knowledge(truth)
Calculated Risk,Active,Attribute_Score,LOGIC,16,Analyze an enemy to gain Advantage on all attacks against them for 1 minute.,buff_advantage(target)
Mastermind,Passive,Attribute_Score,LOGIC,20,"You can retroactively declare you ""prepared"" for this specific situation (have the right item/key).",flashback_mechanic
Sentinel,Passive,Attribute_Score,AWARENESS,16,You cannot be surprised while you are conscious.,immunity(surprise)
True Sight,Active,Attribute_Score,AWARENESS,20,See through Invisibility and Illusions out to 60ft.,vision_true(60ft)
Trust Your Gut,Passive,Attribute_Score,INTUITION,16,The GM will warn you if you are about to walk into a lethal trap or impossible fight.,danger_sense_meta
Fate Bender,Reaction,Attribute_Score,INTUITION,20,Force any creature (ally or enemy) to reroll a die just rolled.,reroll_target(any)
Magnetism,Passive,Attribute_Score,CHARM,16,Merchants buy items for 20% more and sell for 20% less to you.,economy_bonus
Cult Leader,Passive,Attribute_Score,CHARM,20,You can attract a dedicated follower (NPC) who serves you loyally until death.,follower_spawn
Iron Will,Passive,Attribute_Score,WILLPOWER,16,You have Advantage on all saves against Magic.,save_advantage(magic)
Unshakable,Active,Attribute_Score,WILLPOWER,20,"You are immune to Mind Control, Possession, and Fear.","immunity(mind_control, fear)"

Second Wind,Active,None,1,0,5 SP,Heal 5 HP

Provoke,Active,None,1,0,0 SP,Force Attack
